<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;30;20210709;173000;294.5500000;295.5800000;294.2300000;294.2300000;3.495.170
GAZP;30;20210709;180000;294.2300000;294.5900000;294.0200000;294.4600000;1.859.470
GAZP;30;20210709;183000;294.4700000;294.7000000;294.0700000;294.6100000;1.797.230
GAZP;30;20210709;190000;294.6100000;295.2000000;294.3500000;294.3500000;3.457.580
GAZP;30;20210709;193000;294.3900000;294.8300000;294.3900000;294.7600000;233.800
GAZP;30;20210709;200000;294.7600000;294.9000000;294.6100000;294.7600000;214.420
GAZP;30;20210709;203000;294.7600000;294.9900000;294.7200000;294.9000000;241.840
GAZP;30;20210709;210000;294.9000000;294.9000000;294.6700000;294.7500000;95.570
GAZP;30;20210709;213000;294.8800000;295.1700000;294.7800000;295.1000000;309.120
GAZP;30;20210709;220000;295.1300000;295.2900000;295.0000000;295.2500000;216.460
GAZP;30;20210709;223000;295.2500000;295.4500000;295.2000000;295.4100000;270.140
GAZP;30;20210709;230000;295.4000000;295.4200000;295.2000000;295.3000000;116.380
GAZP;30;20210709;233000;295.3000000;295.3400000;294.9600000;295.1800000;360.410
GAZP;30;20210710;000000;295.2200000;295.2200000;294.7200000;295.2200000;195.740
GAZP;30;20210712;103000;295.5300000;296.9800000;295.3000000;295.4100000;4.807.860
GAZP;30;20210712;110000;295.3700000;296.6900000;294.9100000;294.9800000;2.414.510
GAZP;30;20210712;113000;294.9800000;295.8900000;294.9000000;295.6300000;1.187.540
GAZP;30;20210712;120000;295.6500000;296.6900000;295.0700000;296.5400000;2.650.850
GAZP;30;20210712;123000;296.5400000;296.6500000;295.4500000;296.0100000;2.022.250
GAZP;30;20210712;130000;296.0100000;296.5700000;295.8400000;296.5000000;1.229.010
GAZP;30;20210712;133000;296.5000000;296.5900000;296.0000000;296.5400000;1.161.590
GAZP;30;20210712;140000;296.5400000;296.8800000;296.3300000;296.8700000;1.445.490
GAZP;30;20210712;143000;296.8700000;297.3800000;296.8000000;297.2700000;2.983.740
